system,samples,bias_nm,mae_nm,rmse_nm,std_nm,outlier_rate
double_helix,120,0.02862917396704366,0.26065782163064644,0.31172865265730837,0.311712736672519,0.0
best_single_helix,120,0.02747648814354875,0.2278015488481401,0.28322570356396526,0.2830717017435698,0.0
original_dual_plus_minus,120,0.05320340181085849,0.22372994118162381,0.28427894939723336,0.28042689984639363,0.0
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,120,0.036599018131223224,0.2839363051420757,0.35837191646747435,0.35799292380838305,0.0
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,120,0.027799453775189893,0.3115780047085574,0.37011434568063933,0.37061631964195824,0.0
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,120,0.03240420599516985,0.30774834983894883,0.3622194200265675,0.36227972248327706,0.0
