selection_group,rank,pair_id,wavelength_nm,fisher,crlb_nm
top,1,z06_c2_s2_hm1__z06_c2_s2_hm1,670.0,16.74541499371178,0.2443723372316838
top,1,z06_c2_s2_hm1__z06_c2_s2_hm1,675.0,13.907250177294653,0.26815096634255464
top,1,z06_c2_s2_hm1__z06_c2_s2_hm1,680.0,15.558871998003848,0.2535192527227664
top,1,z06_c2_s2_hm1__z06_c2_s2_hm1,685.0,14.713361108194384,0.2607018139820116
top,1,z06_c2_s2_hm1__z06_c2_s2_hm1,690.0,14.25496050658717,0.2648603757175921
top,1,z06_c2_s2_hm1__z06_c2_s2_hm1,695.0,13.456557996525223,0.27260449096346784
top,1,z06_c2_s2_hm1__z06_c2_s2_hm1,700.0,15.092999857453488,0.2574021772151999
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,400.0,75.55475945020027,0.11504535442723511
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,405.0,30.50666554112016,0.1810517094344358
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,410.0,31.917067640919825,0.17700621195417443
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,415.0,32.98551707278761,0.17411586783722396
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,420.0,33.62196322360067,0.17246003329557502
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,425.0,33.01356426334481,0.17404189069056847
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,430.0,34.68515136039126,0.16979629241712635
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,435.0,35.87470318704411,0.1669574648913185
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,440.0,39.30135516339489,0.15951305662257123
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,445.0,40.79609660237335,0.1565635622866682
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,450.0,40.247614865205534,0.15762675164061166
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,455.0,44.585107665964635,0.14976319277305436
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,460.0,45.09546093008713,0.14891333322996805
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,465.0,47.72455947186921,0.1447534875067745
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,470.0,48.910920452342495,0.14298717374427397
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,475.0,45.86446901100615,0.1476596433294166
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,480.0,49.69401885213577,0.14185607518411827
