pair_id,channel_A_id,channel_A_zone_count,channel_A_charge_start,channel_A_charge_step,channel_A_handedness,channel_B_id,channel_B_zone_count,channel_B_charge_start,channel_B_charge_step,channel_B_handedness,channel_redundancy,channel_pearson_redundancy,mirror_aligned_redundancy,spectral_derivative_similarity,median_fisher,median_crlb_nm,gain_DH,gain_SH,delta_F_DH,delta_F_SH
z04_c0_s1_hm1__z04_c0_s1_hm1,z04_c0_s1_hm1,4,0,1,-1,z04_c0_s1_hm1,4,0,1,-1,0.9999999745947415,0.9999999951143734,0.9999999951143734,0.9999998964247157,37.05115986771031,0.16428544786682311,1.0147070317052733,0.7024909903369138,0.5370146908076592,-15.691381143300553
z04_c0_s1_hm1__z04_c0_s1_hp1,z04_c0_s1_hm1,4,0,1,-1,z04_c0_s1_hp1,4,0,1,1,0.6475810814099233,0.4849230148753182,0.7024272831737018,0.12863335525617003,37.549766094870236,0.16319106699294234,1.028362184379512,0.7119445778509441,1.0356209179675844,-15.192774916140628
z04_c0_s1_hm1__z04_c0_s2_hm1,z04_c0_s1_hm1,4,0,1,-1,z04_c0_s2_hm1,4,0,2,-1,0.6395977960258233,0.4465038329362869,0.498227664926013,0.027823988042893957,36.87766467684747,0.16467144424722746,1.009955580178138,0.6992015168391045,0.3635194999448217,-15.864876334163391
z04_c0_s1_hm1__z04_c0_s2_hp1,z04_c0_s1_hm1,4,0,1,-1,z04_c0_s2_hp1,4,0,2,1,0.6530019865661371,0.48143612019351273,0.5009149034492305,0.0720006510096251,36.9448782299336,0.16452158326476535,1.0117963340219016,0.7004758876183222,0.43073305303094855,-15.797662781077264
z04_c0_s1_hm1__z04_c0_s3_hm1,z04_c0_s1_hm1,4,0,1,-1,z04_c0_s3_hm1,4,0,3,-1,0.6666475866661697,0.49311205353893217,0.5177842818322729,0.09646382579793696,32.799643808042376,0.17460852202654287,0.8982722626843824,0.6218821311850508,-3.714501368860276,-19.94289720296849
z04_c0_s1_hm1__z04_c0_s3_hp1,z04_c0_s1_hm1,4,0,1,-1,z04_c0_s3_hp1,4,0,3,1,0.6624001655422274,0.48010571276555297,0.5153364519603917,0.09203087826274702,32.74194530432893,0.17476230360293232,0.896692094137812,0.6207881659985536,-3.7721998725737222,-20.000595706681935
z04_c0_s1_hm1__z04_c1_s1_hm1,z04_c0_s1_hm1,4,0,1,-1,z04_c1_s1_hm1,4,1,1,-1,0.862029212420104,0.7947220655738331,0.7983638048171997,0.6930396468912969,37.5516434683972,0.16318698761864583,1.0284135993453525,0.7119801729036469,1.0374982914945505,-15.190897542613662
z04_c0_s1_hm1__z04_c1_s1_hp1,z04_c0_s1_hm1,4,0,1,-1,z04_c1_s1_hp1,4,1,1,1,0.5424849222429463,0.32969489803568264,0.6641505331289573,0.020577637303132015,37.81972627794254,0.1626075885587212,1.0357554885843459,0.7170630302026415,1.3055811010398912,-14.922814733068321
z04_c0_s1_hm1__z04_c1_s2_hm1,z04_c0_s1_hm1,4,0,1,-1,z04_c1_s2_hm1,4,1,2,-1,0.5086286664009094,0.2685571853376803,0.3848871122740331,-0.016982424454610855,41.298517526606474,0.15560830384610325,1.1310279160726517,0.7830210060979947,4.784372349703823,-11.44402348440439
z04_c0_s1_hm1__z04_c1_s2_hp1,z04_c0_s1_hm1,4,0,1,-1,z04_c1_s2_hp1,4,1,2,1,0.522117018699646,0.29754751145106845,0.3502422213310101,0.026444735875750174,40.911819979585225,0.15634197724658438,1.1204375669039175,0.7756892101774963,4.397674802682573,-11.83072103142564
z04_c0_s1_hm1__z04_c1_s3_hm1,z04_c0_s1_hm1,4,0,1,-1,z04_c1_s3_hm1,4,1,3,-1,0.5256533197692184,0.2963751296772332,0.36046597355457605,0.044501523605593646,37.152811046490456,0.16406054903135708,1.0174909166432244,0.70441829942805,0.638665869587804,-15.589729964520409
z04_c0_s1_hm1__z04_c1_s3_hp1,z04_c0_s1_hm1,4,0,1,-1,z04_c1_s3_hp1,4,1,3,1,0.5218558843995704,0.280958062022558,0.384191848093369,0.032209489277953314,37.652120280254735,0.16296910531211842,1.0311653223110895,0.7138852159662584,1.1379751033520833,-15.09042073075613
z04_c0_s1_hm1__z04_c2_s1_hm1,z04_c0_s1_hm1,4,0,1,-1,z04_c2_s1_hm1,4,2,1,-1,0.7260019950202254,0.624065631725749,0.6350317401964156,0.5332009678737062,38.90607771823007,0.16032131817311715,1.0655070118645542,0.7376602828086686,2.391932541327421,-13.836463292780792
