candidate_id,zone_count,charge_start,charge_step,handedness,median_fisher,median_crlb_nm,mean_adjacent_psf_similarity,max_adjacent_psf_similarity
z04_c0_s1_hm1,4,0,1,-1,42.04190367395452,0.1542264327835192,0.9681445956230164,0.9907081127166748
z04_c0_s1_hp1,4,0,1,1,41.23380744330109,0.1557303575615384,0.9676461815834045,0.9907112717628479
z04_c0_s2_hm1,4,0,2,-1,38.25845635956853,0.16167254629051345,0.9740581512451172,0.9909544587135315
z04_c0_s2_hp1,4,0,2,1,41.81864569846793,0.15463757052814467,0.9740533232688904,0.9909504055976868
z04_c0_s3_hm1,4,0,3,-1,28.58798964584398,0.18702867276522145,0.9782065153121948,0.9923707246780396
z04_c0_s3_hp1,4,0,3,1,28.62355656841141,0.1869124380477722,0.9782422184944153,0.9923915863037109
z04_c1_s1_hm1,4,1,1,-1,42.0345862012126,0.15423985623678976,0.9692615270614624,0.9904181361198425
z04_c1_s1_hp1,4,1,1,1,46.09718712189448,0.1472864475331656,0.9691768288612366,0.9898871183395386
z04_c1_s2_hm1,4,1,2,-1,48.37379204897785,0.14377882606829653,0.9698179364204407,0.9900370240211487
z04_c1_s2_hp1,4,1,2,1,46.757865680206606,0.14624218273064604,0.9697744846343994,0.9900619983673096
z04_c1_s3_hm1,4,1,3,-1,40.63480900469044,0.15687397045346652,0.9729689955711365,0.9906330704689026
z04_c1_s3_hp1,4,1,3,1,40.098243485878584,0.15792006921520435,0.9730789661407471,0.9907513856887817
z04_c2_s1_hm1,4,2,1,-1,44.469151002586116,0.14995832505758028,0.9694463610649109,0.9909439086914062
z04_c2_s1_hp1,4,2,1,1,46.95390307557291,0.14593657530198173,0.9693412184715271,0.9897588491439819
z04_c2_s2_hm1,4,2,2,-1,50.20363235149276,0.141134253258888,0.9689134955406189,0.989203929901123
z04_c2_s2_hp1,4,2,2,1,49.673274575880185,0.14188569266426976,0.9688114523887634,0.9891900420188904
z04_c2_s3_hm1,4,2,3,-1,46.77845761323286,0.146209991195637,0.970475971698761,0.9902315139770508
z04_c2_s3_hp1,4,2,3,1,47.719900722102764,0.14476055325720075,0.9705696105957031,0.9901727437973022
z06_c0_s1_hm1,6,0,1,-1,39.56487004951806,0.15898096478095514,0.970408022403717,0.9911512732505798
z06_c0_s1_hp1,6,0,1,1,39.475581718702124,0.15916065975387575,0.9703155159950256,0.9907835721969604
z06_c0_s2_hm1,6,0,2,-1,33.179213222820636,0.17360689044425925,0.9776254892349243,0.9919017553329468
z06_c0_s2_hp1,6,0,2,1,35.79972208229262,0.16713221634656167,0.9773359894752502,0.9918980598449707
z06_c0_s3_hm1,6,0,3,-1,27.29556391525299,0.19140530232103356,0.9807748198509216,0.9930123090744019
z06_c0_s3_hp1,6,0,3,1,27.038380588049435,0.19231345117167417,0.9807613492012024,0.9930611848831177
z06_c1_s1_hm1,6,1,1,-1,43.73405630364286,0.15121334485334761,0.965433657169342,0.9889795780181885
z06_c1_s1_hp1,6,1,1,1,46.573016695316014,0.14653211401196756,0.9654556512832642,0.9891089200973511
z06_c1_s2_hm1,6,1,2,-1,42.93631394714277,0.1526116265360913,0.9712753891944885,0.9905472993850708
z06_c1_s2_hp1,6,1,2,1,43.64470349664223,0.15136805352866747,0.971153199672699,0.9905273914337158
z06_c1_s3_hm1,6,1,3,-1,31.878179444318278,0.17711414400187006,0.9763821363449097,0.9916269779205322
z06_c1_s3_hp1,6,1,3,1,31.365438465839212,0.17855594661481453,0.9764137268066406,0.9916809797286987
z06_c2_s1_hm1,6,2,1,-1,46.7639036200265,0.14623274136739134,0.9677780270576477,0.9897119998931885
z06_c2_s1_hp1,6,2,1,1,48.04128137240153,0.1442755400860557,0.9676043391227722,0.9898555874824524
z06_c2_s2_hm1,6,2,2,-1,51.919791680662165,0.13878212383234395,0.9679319858551025,0.989485502243042
z06_c2_s2_hp1,6,2,2,1,52.742541011010864,0.13769541375563152,0.9678548574447632,0.9894741177558899
z06_c2_s3_hm1,6,2,3,-1,38.84863949939043,0.16043979297484046,0.9730783104896545,0.9909747838973999
z06_c2_s3_hp1,6,2,3,1,37.75319284510904,0.16275080927557922,0.9730530977249146,0.9909489154815674
z08_c0_s1_hm1,8,0,1,-1,35.63156034322704,0.16752613905871552,0.9665210247039795,0.9920875430107117
z08_c0_s1_hp1,8,0,1,1,39.16276566984235,0.1597950503725812,0.9667232036590576,0.9910299181938171
z08_c0_s2_hm1,8,0,2,-1,30.011946441028932,0.18253784482593025,0.9781529307365417,0.9933571219444275
z08_c0_s2_hp1,8,0,2,1,31.712325613327966,0.17757668894824874,0.9775064587593079,0.9933639764785767
z08_c0_s3_hm1,8,0,3,-1,25.16123384995609,0.19935816749079857,0.9800208806991577,0.9939067959785461
z08_c0_s3_hp1,8,0,3,1,25.099868245416886,0.1996017198879718,0.9800553917884827,0.9937828779220581
z08_c1_s1_hm1,8,1,1,-1,39.658836649730674,0.1587925104353444,0.9628413915634155,0.9926978945732117
z08_c1_s1_hp1,8,1,1,1,44.189763316245326,0.15043163032888623,0.9624574780464172,0.9895973801612854
z08_c1_s2_hm1,8,1,2,-1,34.90093123157603,0.16927058397037748,0.9722526669502258,0.9919092655181885
z08_c1_s2_hp1,8,1,2,1,36.51414451456389,0.16548911557697113,0.9718762040138245,0.9918930530548096
z08_c1_s3_hm1,8,1,3,-1,27.349617031967398,0.19121606438556923,0.9768979549407959,0.9931831359863281
