selection_group,rank,pair_id,channel_A_id,channel_A_zone_count,channel_A_charge_start,channel_A_charge_step,channel_A_handedness,channel_B_id,channel_B_zone_count,channel_B_charge_start,channel_B_charge_step,channel_B_handedness,channel_redundancy,channel_pearson_redundancy,mirror_aligned_redundancy,spectral_derivative_similarity,median_fisher,median_crlb_nm,gain_DH,gain_SH,delta_F_DH,delta_F_SH
top,1,z06_c2_s2_hm1__z06_c2_s2_hm1,z06_c2_s2_hm1,6,2,2,-1,z06_c2_s2_hm1,6,2,2,-1,1.000000039085013,1.0000000009771253,1.0000000009771253,0.999999969709115,44.626781928431164,0.14969324902962208,1.2221779179609613,0.846124988917667,8.112636751528512,-8.1157590825797
top,2,z04_c2_s2_hm1__z08_c2_s2_hp1,z04_c2_s2_hm1,4,2,2,-1,z08_c2_s2_hp1,8,2,2,1,0.4038172082089987,0.210455568350821,0.41077960783340894,0.006092034837566927,44.62004802042231,0.1497045442050458,1.2219934988002161,0.84599731384021,8.105902843519658,-8.122492990588555
top,3,z06_c2_s2_hp1__z06_c2_s2_hp1,z06_c2_s2_hp1,6,2,2,1,z06_c2_s2_hp1,6,2,2,1,0.9999999872973708,0.999999994137248,0.999999994137248,0.9999999570064857,44.54166113185394,0.14983621548474502,1.2198467447631547,0.8445110963189116,8.02751595495129,-8.200879879156922
middle,1,z06_c1_s2_hp1__z08_c0_s2_hp1,z06_c1_s2_hp1,6,1,2,1,z08_c0_s2_hp1,8,0,2,1,0.7807837851711961,0.6880357372956197,0.7020503448658302,0.3403507836666874,32.27106500000433,0.17603270028043444,0.8837962615216219,0.6118602627292306,-4.243080176898324,-20.471476011006537
middle,2,z08_c2_s1_hm1__z10_c1_s2_hp1,z08_c2_s1_hm1,8,2,1,-1,z10_c1_s2_hp1,10,1,2,1,0.325836855368536,0.1668596038152082,0.2332648217494859,0.005440990093209949,32.272208196955525,0.1760295823991411,0.8838275698528361,0.6118819377742566,-4.241936979947127,-20.47033281405534
middle,3,z08_c2_s2_hp1__z10_c0_s2_hp1,z08_c2_s2_hp1,8,2,2,1,z10_c0_s2_hp1,10,0,2,1,0.7679353336818883,0.6968801212115366,0.7005377665894931,0.44955814883235046,32.277719871272154,0.17601455254025145,0.8839785161310503,0.611986439267946,-4.2364253056304975,-20.46482113973871
bad,1,z12_c0_s3_hm1__z12_c0_s3_hm1,z12_c0_s3_hm1,12,0,3,-1,z12_c0_s3_hm1,12,0,3,-1,0.9999999726404909,0.9999999882744961,0.9999999882744961,0.9999999413724805,15.597779608100586,0.2532028619500905,0.4271708822028538,0.2957343220313237,-20.916365568802064,-37.14476140291028
bad,2,z12_c0_s3_hm1__z12_c0_s3_hp1,z12_c0_s3_hm1,12,0,3,-1,z12_c0_s3_hp1,12,0,3,1,0.5268447770447028,0.23004883346071497,0.7808638127123724,0.016854314805298556,15.646523254625649,0.2528081525986453,0.42850580723776593,0.2966585028840226,-20.867621922277003,-37.096017756385216
bad,3,z12_c0_s3_hp1__z12_c0_s3_hp1,z12_c0_s3_hp1,12,0,3,1,z12_c0_s3_hp1,12,0,3,1,0.9999999931601228,0.9999999775261176,0.9999999775261176,0.9999999482123578,15.695266901150713,0.2524152834078667,0.4298407322726781,0.2975826837367216,-20.81887827575194,-37.047274109860155
