parameter,same_pair_count,different_pair_count,mean_mirror_redundancy_same,mean_mirror_redundancy_different,redundancy_change_different_minus_same,mean_derivative_similarity_same,mean_derivative_similarity_different,mean_gain_DH_same,mean_gain_DH_different
zone_count,855,3240,0.47741839352982834,0.33613669037401883,-0.1412817031558095,0.1782290933634478,0.04414759246520173,0.8589858178952204,0.8734475340762003
charge_start,1395,2700,0.4242265948492025,0.3353627790611803,-0.08886381578802222,0.1091354645273169,0.053029667184220135,0.8697133894264811,0.8707972986879117
charge_step,1395,2700,0.5380274432890202,0.2765656740339411,-0.2614617692550791,0.15289988483023303,0.030418050027713462,0.8637974256887255,0.8738538799524187
handedness,2070,2025,0.3801016554234448,0.35084700076705855,-0.02925465465638627,0.13508310297097456,0.007803482105226708,0.8676971176076713,0.8732196796342829
