wavelength_nm,fisher_double_helix,crlb_double_helix_nm,fisher_single_helix,crlb_single_helix_nm,fisher_dual_single_helix,crlb_dual_single_helix_nm
400.0,104.50886643442212,0.09781904790661969,98.29875090211205,0.10086163417684209,75.82356669023099,0.11484124584436148
405.0,47.538578761372094,0.1450363638364948,44.04458645585112,0.15067934777753564,32.851174964277305,0.17447152068119492
410.0,51.189907502224166,0.13976802474608258,46.37395964846117,0.14684626678676732,34.539847814310946,0.17015307033617352
415.0,49.951974940863494,0.14148932289273466,51.06335678999202,0.13994111166037174,46.18201659291093,0.14715111374807574
420.0,51.19512131978594,0.13976090743179687,52.90314640009271,0.13748624439011942,47.62699556197101,0.14490167542885296
425.0,51.73319646261916,0.13903218349863491,48.90650383268533,0.14299362999912457,40.917018429820985,0.15633204541582607
430.0,54.095983036210754,0.13596198339416918,45.297230798751386,0.14858130677924453,36.09316577387009,0.16645142284137857
435.0,54.692897209548306,0.13521800846471393,42.81170424279214,0.15283356434777193,35.31435261497669,0.16827685063192627
440.0,57.05933375936577,0.13238435133638857,66.64812992059225,0.12249151777929873,59.1404391232433,0.1300342411467077
445.0,56.68965239397137,0.13281529859529115,68.42415278565484,0.120891366205893,59.10777286449597,0.13007016827811574
450.0,53.14523279566865,0.1371727492998449,53.39059210423321,0.13685719400829746,45.84342246364847,0.14769353444077613
455.0,57.00057344205996,0.13245256944612507,40.674379637552114,0.15679764337892363,37.87886676958016,0.16248059889226135
460.0,54.59849784920169,0.13533485216376756,35.69734118206485,0.16737171451308339,35.402051335231675,0.16806829187995412
465.0,58.16973869333943,0.13111471749804135,80.15264417095116,0.11169688791505797,61.75202841074021,0.12725486253029594
470.0,53.52386110292269,0.1366867075355923,78.21595528210665,0.11307128378088015,58.79518548285456,0.13041547202826592
475.0,48.30781887148515,0.14387697073597355,50.32187207252532,0.1409683463857395,43.52120453606889,0.15158266792795216
480.0,54.231501501371454,0.13579200023002447,35.62136442197599,0.16755011288931057,43.71727687824853,0.15124236118058093
485.0,51.11769411911987,0.13986671425073133,34.55583617888638,0.17011370239758614,43.32506202558651,0.15192540523660963
490.0,51.77283575402767,0.13897894909061262,74.83137899382201,0.11560007763756527,50.74151742509815,0.14038421397191042
495.0,48.09032957831481,0.1442019466865824,72.40224753200158,0.11752329954157015,48.68222640112649,0.14332263500392656
500.0,43.617998467691066,0.1514143838265082,43.691145791552856,0.15128758243111792,38.34237926074528,0.1614955168276923
505.0,46.49971487293885,0.14664756462622666,39.16276566984235,0.1597950503725812,48.89768682427325,0.14300652139840367
510.0,43.45973777648477,0.15168982461779387,41.7508523336031,0.1547630667572575,51.38901534692066,0.13949699485524153
515.0,45.51836107774854,0.14821995999476653,51.17396011866943,0.13978980106229924,37.06528265927257,0.16425414647070438
520.0,41.99088763264443,0.15432009160074822,48.82158755017078,0.14311793169398718,34.18246747622918,0.17104023925814352
525.0,34.87681418513692,0.1693290985043569,39.38632097006161,0.15934090963793376,34.856903493811885,0.16937745303039745
530.0,39.36746454758249,0.15937906601708507,49.7795105668531,0.14173421048092885,54.6589488401022,0.1352599935234555
535.0,37.581783169177776,0.16312153844260377,48.412208078987355,0.14372176909770137,51.624968629517696,0.1391778424143014
540.0,39.88742285909572,0.15833685388172788,35.377311093502314,0.16812704879697965,26.127528636794942,0.19563692760510298
545.0,37.378668749967154,0.1635641364473911,31.680958014956584,0.17766457732860863,24.804320156186836,0.20078734442492138
550.0,29.737280995980257,0.18337890354609274,32.86993998778842,0.1744217118043319,29.06832933404695,0.18547695782348794
555.0,36.51414517690265,0.1654891140760479,53.037445664979174,0.13731206551722414,49.43007017559668,0.14223431530842037
560.0,34.74068371283321,0.16966052999600156,53.893698924036485,0.13621690364124125,48.67647533501379,0.14333110145100242
565.0,36.99238849197531,0.16441589970140721,27.359398099512127,0.191181881169555,23.178878152546716,0.20770827251045149
570.0,35.53524722214793,0.16775301305702772,24.147211631620173,0.20350098037936806,22.616088246886687,0.21027674948650416
575.0,26.09145026161203,0.19577214094332024,28.74237742194558,0.1865256903591659,25.89364677765345,0.1965184772616887
580.0,32.813712010430706,0.17457108811220873,51.66419096558835,0.13912500198008476,39.603248834622704,0.15890391333452733
585.0,30.676233514582748,0.180550619319567,48.8653941219478,0.14305376653372412,37.302011043400526,0.16373211688642023
590.0,33.24393189580702,0.17343782077383446,18.95452472252408,0.22969077358536708,23.211619969902507,0.20756172637815615
595.0,31.59475071006688,0.17790679400591217,19.99704048385849,0.22362334378449353,24.24708729180098,0.20308142961864561
600.0,23.99610603778448,0.20414070665785788,24.59844158601593,0.20162584625253496,21.88360197771329,0.21376696751954397
605.0,29.29319567584624,0.18476368851886957,49.554197614693905,0.14205606349456318,34.644899535240754,0.16989490183347417
610.0,27.715730406913693,0.1899489231729974,43.7581144751956,0.15117177065844117,30.762522858611142,0.1802972178808074
615.0,27.10949956514067,0.19206102825586618,15.997701560485076,0.25001795849357,22.926575677099812,0.20884803979236577
620.0,26.109765731295433,0.19570346380951284,16.449875289768617,0.24655777096061526,23.60423575852808,0.20582827206462623
625.0,18.71256966060988,0.23117096448493227,20.627463162362076,0.22017960582705126,18.15931460969523,0.23466605562835896
630.0,23.30261903316721,0.20715605527003458,36.87843443948101,0.16466972564680452,24.64932124238646,0.2014176467453854
635.0,22.817799310350708,0.20934525514988683,36.43636104659991,0.165665662498713,23.964840402153822,0.2042738289413073
640.0,23.18495883207393,0.2076810330775071,16.598109185987603,0.2454543264060806,23.08562148578259,0.20812737880640758
645.0,22.156852310336326,0.2124447330909413,16.868787882980087,0.24347706695801197,22.991025592478653,0.2085551062554703
650.0,16.642276589818714,0.24512840096192248,17.939173829174308,0.23610151884758906,15.76976148873366,0.2518183868869802
655.0,19.436288655629475,0.2268262588621717,25.312133377833987,0.19876303743107604,16.21892328344822,0.24830701562736182
660.0,19.063836912527627,0.22903130252688092,24.203981813130675,0.203262185583658,15.482591958145193,0.2541430080327712
665.0,19.61901179421009,0.2257675062106579,17.862927493553045,0.23660487157871551,21.623907604469412,0.2150467638834605
670.0,19.181590122487453,0.22832722407337155,17.85089214792247,0.23668461945820382,21.09833524399224,0.21770876069670853
675.0,14.875838405196198,0.25927418273988717,15.033617560642366,0.2579100412811639,12.934841211435883,0.27804779104316857
680.0,17.018353945075958,0.2424048049108434,18.20543873027938,0.23436859974434288,11.624476462726335,0.2933008345867145
685.0,16.208262639873432,0.24838866156073444,16.81140964243224,0.24389221315867624,10.846644924713077,0.30363531958167667
690.0,16.42917949965211,0.24671301614264782,18.452581306687854,0.23279381427514367,19.80287138008326,0.22471699393953698
695.0,16.148232203996173,0.24884992095662356,18.756305725238434,0.2309012842715504,19.37396387896465,0.2271908085458699
700.0,18.153096477513884,0.2347062432519663,16.914983831216826,0.24314436359506209,12.532011369348826,0.2824812393002555
