system,truth_nm,estimate_nm,confidence,repeat
single_double_helix,542.0,540.0,0.4904089608506845,12
dual_single_helix,542.0,540.0,0.33821301168285417,13
single_double_helix,542.0,540.0,0.4328975082186426,13
dual_single_helix,542.0,540.0,0.3614136027092847,14
single_double_helix,542.0,540.0,0.4350416800927627,14
dual_single_helix,542.0,540.0,0.3394108030960565,15
single_double_helix,542.0,540.0,0.45178699304856,15
dual_single_helix,542.0,540.0,0.3350839265850565,16
single_double_helix,542.0,540.0,0.4452345894726403,16
dual_single_helix,542.0,540.0,0.32727975879258386,17
single_double_helix,542.0,540.0,0.4357886026058612,17
dual_single_helix,542.0,540.0,0.35559078990710735,18
single_double_helix,542.0,540.0,0.4399247567115119,18
dual_single_helix,542.0,540.0,0.3244799662076914,19
single_double_helix,542.0,540.0,0.4305514904187885,19
dual_single_helix,597.0,595.0,0.22650569249708324,0
single_double_helix,597.0,595.0,0.3254800139995477,0
dual_single_helix,597.0,595.0,0.24573111147955412,1
single_double_helix,597.0,595.0,0.34398158085886343,1
dual_single_helix,597.0,595.0,0.24974765594397794,2
single_double_helix,597.0,595.0,0.3479160399910009,2
dual_single_helix,597.0,595.0,0.26364618912632176,3
single_double_helix,597.0,595.0,0.32011756874105657,3
dual_single_helix,597.0,595.0,0.259386808731689,4
single_double_helix,597.0,595.0,0.3326883606043607,4
dual_single_helix,597.0,595.0,0.23032642937997505,5
single_double_helix,597.0,595.0,0.3067810363881877,5
dual_single_helix,597.0,595.0,0.23154175795628668,6
single_double_helix,597.0,595.0,0.3376398229365231,6
dual_single_helix,597.0,595.0,0.2238018869876448,7
single_double_helix,597.0,595.0,0.28457617874223273,7
dual_single_helix,597.0,595.0,0.20697899670205291,8
single_double_helix,597.0,595.0,0.3199283416613791,8
dual_single_helix,597.0,595.0,0.20488878286755652,9
single_double_helix,597.0,595.0,0.31536466462474555,9
dual_single_helix,597.0,595.0,0.2126260820282365,10
single_double_helix,597.0,595.0,0.3554889067115138,10
dual_single_helix,597.0,595.0,0.2382840295213621,11
single_double_helix,597.0,595.0,0.28428811444825275,11
